review_id,product_id,product_name,category,rating,review_title,review_text,helpful_votes,verified_purchase,date,sentiment_label
R001,P001,Wireless Headphones,Electronics,5,Best headphones ever!,The sound quality is absolutely amazing. Deep bass and crystal clear highs. The noise cancellation blocks out everything at the office. Battery lasts 30 hours on a single charge. Best purchase I have made this year.,45,True,2024-01-15,positive
R002,P001,Wireless Headphones,Electronics,4,Great sound minor comfort issue,Sound quality is excellent especially for the price. The noise cancellation works really well on commutes. My only complaint is they get uncomfortable after about 2 hours of wearing. Otherwise highly recommend.,23,True,2024-02-03,positive
R003,P001,Wireless Headphones,Electronics,2,Bluetooth keeps disconnecting,The audio quality is good but the Bluetooth connection drops every 20-30 minutes. Very frustrating during workouts. Customer service was unhelpful and just told me to reset the device. Not worth the price.,18,True,2024-01-28,negative
R004,P001,Wireless Headphones,Electronics,5,Perfect for travel,Used these on a 10-hour flight and they were incredible. The noise cancellation completely blocked out engine noise. Sound quality rivals Sony and Bose at half the price. Highly recommend for frequent travelers.,67,True,2024-03-10,positive
R005,P001,Wireless Headphones,Electronics,3,Decent but not exceptional,Average headphones. Sound is okay for casual listening but audiophiles will be disappointed. Comfort is fine for short sessions. Bluetooth range is limited to about 10 meters. Neither good nor bad.,8,False,2024-02-20,neutral
R006,P001,Wireless Headphones,Electronics,1,Broke after 2 weeks,The left earcup stopped working after two weeks of light use. Build quality is terrible for the price point. Cheap plastic construction. Would not recommend. Returning for refund.,34,True,2024-01-05,negative
R007,P001,Wireless Headphones,Electronics,5,Fantastic for commuting,These headphones transformed my daily commute. The active noise cancellation is top notch and the 30-hour battery means I never have to charge during the week. Comfortable even during long listening sessions.,29,True,2024-04-01,positive
R008,P001,Wireless Headphones,Electronics,4,Good value for money,Solid headphones with excellent noise cancellation. The app allows good EQ customization. Foldable design makes them easy to carry. Only minor issue is the microphone quality could be better for calls.,15,True,2024-03-25,positive
R009,P002,TechBook Pro Laptop,Electronics,5,Best laptop I have ever owned,Incredible performance for both work and gaming. The M3 chip handles everything without breaking a sweat. Battery life is outstanding at 15 hours real-world usage. The retina display is gorgeous.,89,True,2024-01-20,positive
R010,P002,TechBook Pro Laptop,Electronics,4,Excellent machine minor quirks,Performance is phenomenal and the build quality is premium. The keyboard is a joy to type on. My only gripes are the limited port selection requiring adapters and the high price tag. Worth it if you can afford it.,52,True,2024-02-14,positive
R011,P002,TechBook Pro Laptop,Electronics,2,Overpriced for what you get,The performance is good but nowhere near worth the premium price. Had to return it twice for display issues. Customer support took 3 weeks to resolve the issue. Windows alternatives offer more value.,41,True,2024-03-05,negative
R012,P002,TechBook Pro Laptop,Electronics,5,Life-changing productivity,As a software developer I use this machine 12 hours a day. Never gets hot never slows down. The ecosystem integration with iPhone and iPad is seamless. Best professional laptop on the market.,73,True,2024-04-12,positive
R013,P002,TechBook Pro Laptop,Electronics,3,Good but not perfect,Solid laptop with impressive performance. However the 8GB base RAM feels limiting for professional video editing. Battery life is good but not as advertised in heavy use. Decent overall but the price is hard to justify.,19,False,2024-01-30,neutral
R014,P002,TechBook Pro Laptop,Electronics,1,Dead on arrival,The laptop arrived with a faulty keyboard. Several keys did not register at all. Getting a replacement took 2 weeks of back-and-forth with customer service. Extremely disappointed for this price point.,28,True,2024-02-28,negative
R015,P002,TechBook Pro Laptop,Electronics,5,Perfect for creative work,As a graphic designer this laptop has been a game changer. The display color accuracy is outstanding. Performance handles large Photoshop and Premiere files effortlessly. The battery lasts through full work days.,61,True,2024-03-18,positive
R016,P002,TechBook Pro Laptop,Electronics,4,Nearly perfect,Outstanding build quality and performance. The new keyboard feels much better than older models. Display is stunning. Would be perfect if it had more USB ports and a card reader. Still highly recommended.,33,True,2024-04-20,positive
R017,P003,Galaxy X Smartphone,Electronics,5,Best phone I have ever used,The camera system is absolutely stunning. Low-light photos look professional quality. The display is vibrant and smooth at 120Hz. Battery easily lasts two full days. Samsung has outdone themselves.,94,True,2024-01-08,positive
R018,P003,Galaxy X Smartphone,Electronics,4,Great phone but expensive,Excellent camera and display. The performance is blazing fast. AI features are genuinely useful. Main drawback is the price and Samsung bloatware. Still a top-tier smartphone.,47,True,2024-02-25,positive
R019,P003,Galaxy X Smartphone,Electronics,1,Overheats constantly,This phone overheats during normal use like browsing or watching videos. Performance throttles significantly when hot. Samsung support offered no solution other than a factory reset which did not help.,56,True,2024-03-12,negative
R020,P003,Galaxy X Smartphone,Electronics,5,Camera is incredible,Switched from iPhone to this phone and the camera is leagues better. The zoom capabilities are phenomenal. Low-light performance is stunning. The S-Pen is incredibly useful for notes.,82,True,2024-04-05,positive
R021,P003,Galaxy X Smartphone,Electronics,3,Decent but not worth upgrading,If you already have last year's model there is little reason to upgrade. Performance improvements are marginal. Camera is slightly better. Battery life is similar. Good phone but not a must-buy upgrade.,14,True,2024-02-10,neutral
R022,P003,Galaxy X Smartphone,Electronics,2,Screen cracked easily,The screen cracked from a minor drop from knee height. Repair cost was nearly half the phone price. The build quality does not justify the premium price tag. Disappointed in the durability.,39,True,2024-01-22,negative
R023,P003,Galaxy X Smartphone,Electronics,5,Android at its finest,Smooth fast and beautiful. The 120Hz display makes everything buttery. Samsung Pay works everywhere. The Galaxy ecosystem with watch and earbuds is seamless. Could not be happier.,58,True,2024-03-30,positive
R024,P003,Galaxy X Smartphone,Electronics,4,Solid upgrade,Noticeable improvements in camera and performance over my old phone. Battery life is excellent. One UI is clean and intuitive. The only downside is it runs hot during gaming sessions.,27,False,2024-04-18,positive
R025,P004,Bluetooth Speaker,Electronics,5,Room-filling sound,Cannot believe how loud and clear this small speaker gets. Perfect for outdoor gatherings. Waterproof design held up through rain at a BBQ. 24-hour battery life is impressive.,71,True,2024-01-12,positive
R026,P004,Bluetooth Speaker,Electronics,4,Great outdoor speaker,Excellent sound quality for a portable speaker. Bass is surprisingly deep. Waterproofing is genuinely IPX7 tested it in the shower. Battery lasts all weekend camping. Only wish it was slightly louder.,38,True,2024-02-18,positive
R027,P004,Bluetooth Speaker,Electronics,2,Stopped working after 1 month,The speaker worked great for the first month then completely died. Not wet never dropped. Customer service just sent a refurbished replacement that also had issues. Poor quality control.,26,True,2024-03-22,negative
R028,P004,Bluetooth Speaker,Electronics,5,Perfect travel companion,Compact lightweight and sounds amazing. Used it across 3 countries on a backpacking trip. Survived rain mud and salt air without any issues. The handle design is genius.,55,True,2024-01-25,positive
